epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3594.31,0.88996,0.47852,0.83864,0.81777,0.75668,0.73684,0.51291,0.75559,0.64298,0.79313,0.00184028,0.00184028,0.00184028
57,3657.64,0.87868,0.46988,0.82812,0.89669,0.75265,0.81029,0.5746,0.75984,0.48628,0.79706,0.00183459,0.00183459,0.00183459
58,3721.45,0.86104,0.46224,0.82463,0.90226,0.76282,0.82057,0.59308,0.71954,0.45789,0.78878,0.00182881,0.00182881,0.00182881
59,3785.07,0.87506,0.46603,0.8329,0.88344,0.77444,0.81811,0.58481,0.74483,0.47737,0.79506,0.00182294,0.00182294,0.00182294
60,3848.34,0.85113,0.46263,0.82749,0.79636,0.77734,0.72688,0.50413,0.7682,0.76848,0.79793,0.00181698,0.00181698,0.00181698
61,3911.81,0.86958,0.46739,0.82775,0.81838,0.75879,0.73263,0.51796,0.74371,0.73426,0.79157,0.00181093,0.00181093,0.00181093
62,3975.25,0.84754,0.45674,0.82962,0.85968,0.78839,0.80248,0.56962,0.73085,0.55142,0.7917,0.00180479,0.00180479,0.00180479
63,4038.99,0.88325,0.46362,0.83201,0.67862,0.75489,0.60942,0.42008,0.74683,1.54595,0.79454,0.00179856,0.00179856,0.00179856
64,4102.5,0.85427,0.45528,0.8233,0.88656,0.78224,0.82802,0.5961,0.72198,0.43535,0.78844,0.00179225,0.00179225,0.00179225
65,4165.95,0.87434,0.46371,0.82699,0.78933,0.77403,0.71855,0.51043,0.71113,0.99197,0.78861,0.00178586,0.00178586,0.00178586
66,4229.3,0.86567,0.4564,0.83597,0.72758,0.79782,0.69254,0.4901,0.72355,1.18113,0.7918,0.00177937,0.00177937,0.00177937
67,4293.24,0.83288,0.43969,0.82619,0.88357,0.79236,0.82751,0.59162,0.71682,0.4742,0.79115,0.00177281,0.00177281,0.00177281
68,4356.98,0.85939,0.45929,0.83146,0.71391,0.79277,0.65795,0.46048,0.73905,1.06691,0.79368,0.00176616,0.00176616,0.00176616
69,4420.4,0.81996,0.42868,0.81706,0.90696,0.80012,0.85503,0.61926,0.71761,0.41154,0.78846,0.00175943,0.00175943,0.00175943
70,4483.37,0.8421,0.4351,0.82194,0.85956,0.80011,0.82603,0.59842,0.71742,0.43182,0.78959,0.00175261,0.00175261,0.00175261
71,4546.1,0.84175,0.44837,0.83043,0.86776,0.7877,0.80831,0.58362,0.69537,0.45838,0.78751,0.00174571,0.00174571,0.00174571
72,4608.92,0.83629,0.44714,0.83043,0.71059,0.78826,0.66665,0.47329,0.70913,1.14695,0.78853,0.00173874,0.00173874,0.00173874
73,4671.96,0.8375,0.43893,0.82512,0.86169,0.76773,0.79715,0.57036,0.73416,0.49139,0.79355,0.00173168,0.00173168,0.00173168
74,4734.99,0.84008,0.44312,0.82224,0.75253,0.77082,0.68329,0.47595,0.72628,0.94663,0.79129,0.00172454,0.00172454,0.00172454
75,4797.77,0.82979,0.43949,0.82126,0.77753,0.79062,0.7247,0.5176,0.70498,0.71912,0.78992,0.00171733,0.00171733,0.00171733
76,4860.65,0.83248,0.44251,0.8234,0.82452,0.81351,0.77533,0.5498,0.71045,0.5918,0.78681,0.00171004,0.00171004,0.00171004
77,4923.58,0.82258,0.43597,0.82915,0.84406,0.79783,0.7913,0.56938,0.69595,0.5528,0.78782,0.00170267,0.00170267,0.00170267
78,4986.56,0.83496,0.44513,0.81903,0.83355,0.78615,0.77291,0.5541,0.69653,0.5883,0.788,0.00169522,0.00169522,0.00169522
79,5049.77,0.8266,0.43499,0.81859,0.7585,0.80141,0.72158,0.50952,0.72055,0.88568,0.78563,0.0016877,0.0016877,0.0016877
80,5112.79,0.81633,0.426,0.8193,0.69097,0.8015,0.6379,0.44527,0.70288,1.27244,0.78722,0.00168011,0.00168011,0.00168011
81,5175.76,0.80728,0.42227,0.82189,0.75535,0.78779,0.70121,0.50597,0.67397,0.77313,0.7841,0.00167244,0.00167244,0.00167244
82,5238.72,0.80274,0.41813,0.8202,0.71367,0.80179,0.66986,0.47013,0.69198,1.14633,0.78509,0.0016647,0.0016647,0.0016647
83,5301.85,0.81091,0.43383,0.81463,0.87949,0.77778,0.80668,0.58448,0.68546,0.5148,0.78382,0.00165689,0.00165689,0.00165689
84,5364.6,0.81779,0.43646,0.81722,0.7386,0.77499,0.67612,0.48191,0.68965,1.0132,0.78601,0.001649,0.001649,0.001649
85,5427.72,0.80803,0.42784,0.81866,0.73261,0.79092,0.6809,0.48794,0.68898,0.90865,0.78631,0.00164105,0.00164105,0.00164105
